Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Kuwait,,1.0,,1.0,12.0,4.0,13.0,38.0,26.0,,,,,75.0,65.0,,,,87.0,146.0,,1.084123685465947,469.08412368546595
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,36.0,5.0,19.0,62.0,276.0,0.0,45.0,2.78668747542261,460.7866874754226
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,22.0,32.0,36.0,47.0,42.0,65.0,107.0,97.0,,1.466549668670305,459.4665496686703
Portugal,1.0,4.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,6.0,9.0,227.0,8.0,14.0,29.0,,58.0,57.0,,2.3034318067402517,435.30343180674026
Liberia,82.0,239.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,30.0,40.0,3.0,,0.0,0.0,,,,,,,2.0931419658852337,435.09314196588525
Ireland,1.0,0.0,,6.0,3.0,0.0,10.0,6.0,29.0,23.0,42.0,19.0,14.0,17.0,49.0,58.0,31.0,57.0,,62.0,,0.9059402594053996,427.9059402594054
Germany,16.0,74.0,95.0,90.0,151.0,,,,,,,,,,,,,,,,,0.5678495458718775,426.56784954587187
Niger (the),21.0,10.0,24.0,33.0,8.0,6.0,77.0,19.0,5.0,11.0,55.0,10.0,10.0,,131.0,,,,,,,1.1885493564213363,421.18854935642133
Canada,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,12.0,7.0,1.0,1.0,7.0,320.0,,11.0,16.0,,28.0,,,3.1768891900158396,413.17688919001586
Congo (the),157.0,12.0,1.0,4.0,45.0,107.0,22.0,,10.0,11.0,21.0,2.0,18.0,1.0,,0.0,0.0,0.0,,,,1.7176498933261568,412.71764989332615
Gabon,4.0,0.0,3.0,62.0,137.0,5.0,2.0,4.0,2.0,40.0,55.0,0.0,0.0,3.0,63.0,,,,0.0,,,1.622191443229093,381.6221914432291
Qatar,0.0,2.0,20.0,7.0,20.0,58.0,20.0,16.0,23.0,14.0,,26.0,34.0,36.0,,35.0,21.0,17.0,16.0,,,0.6483259329177541,365.64832593291777
Austria,8.0,39.0,3.0,1.0,11.0,,23.0,2.0,2.0,252.0,7.0,13.0,,,,,,,,,,2.2417904495519023,363.2417904495519
Lebanon,13.0,10.0,10.0,9.0,18.0,27.0,3.0,4.0,5.0,21.0,18.0,32.0,16.0,13.0,120.0,6.0,11.0,1.0,5.0,5.0,,1.469728737799186,348.4697287377992
Libya,21.0,7.0,0.0,,5.0,,1.0,,,3.0,1.0,1.0,1.0,10.0,30.0,,217.0,26.0,,,,2.360235285854739,325.36023528585474
Benin,12.0,,3.0,40.0,8.0,10.0,41.0,20.0,1.0,15.0,97.0,29.0,8.0,2.0,30.0,,,,,,,1.1200949943075305,317.1200949943075
Myanmar,13.0,6.0,10.0,34.0,30.0,23.0,21.0,103.0,11.0,13.0,5.0,2.0,0.0,0.0,,,,,,,,1.3602756278257695,272.3602756278258
New Zealand,1.0,0.0,3.0,0.0,4.0,1.0,4.0,22.0,2.0,2.0,,10.0,8.0,13.0,25.0,28.0,33.0,26.0,26.0,37.0,,0.989056693823754,245.98905669382376
South Sudan,106.0,72.0,,47.0,0.0,,20.0,,,,,,,,,,,,,,,0.8551970138676311,245.85519701386764
Gambia,1.0,0.0,4.0,1.0,35.0,66.0,39.0,42.0,14.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,,,,,1.43052664968464,243.43052664968465
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,9.0,96.0,32.0,73.0,2.412832360525696,227.4128323605257
Papua New Guinea,3.0,1.0,1.0,4.0,84.0,5.0,33.0,19.0,5.0,19.0,4.0,4.0,,,,,,,,,,1.567318910234505,183.56731891023452
Oman,0.0,2.0,6.0,0.0,,0.0,13.0,1.0,2.0,19.0,4.0,16.0,11.0,22.0,9.0,1.0,3.0,58.0,3.0,5.0,,1.4765443508254834,176.4765443508255
Fiji,0.0,,1.0,,,,25.0,,0.0,1.0,0.0,0.0,10.0,0.0,2.0,65.0,63.0,0.0,,,,1.8502961714084039,168.85029617140842
Djibouti,,0.0,4.0,,,0.0,0.0,15.0,,,118.0,,,,,,,,,0.0,,2.235337155835623,139.23533715583562
