Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Azerbaijan,0.0,0.0,0.0,6.0,9.0,76.0,126.0,101.0,125.0,232.0,82.0,129.0,162.0,303.0,508.0,794.0,5178.0,7138.0,6817.0,4265.0,,1.844079902581367,26052.84407990258
Kazakhstan,38.0,39.0,24.0,25.0,40.0,38.0,67.0,51.0,82.0,131.0,240.0,266.0,326.0,930.0,4089.0,,8379.0,4833.0,3236.0,2877.0,,1.7010854188255908,25712.701085418827
Bosnia and Herzegovina,80.0,113.0,170.0,56.0,,,7881.0,8209.0,209.0,474.0,54.0,83.0,91.0,93.0,141.0,,1485.0,,3577.0,1237.0,,1.8132794889841661,23954.813279488983
Singapore,476.0,524.0,,,,495.0,521.0,501.0,452.0,631.0,801.0,780.0,844.0,1003.0,1003.0,877.0,1090.0,1399.0,5981.0,6384.0,,1.3030073122053298,23763.303007312206
Tajikistan,1873.0,2532.0,1790.0,,,1530.0,1518.0,1441.0,1558.0,1200.0,1171.0,1430.0,732.0,547.0,424.0,,2915.0,526.0,428.0,1990.0,,0.5182159111572182,23605.518215911157
Honduras,14761.0,115.0,138.0,108.0,136.0,158.0,138.0,143.0,172.0,187.0,219.0,233.0,456.0,408.0,554.0,599.0,909.0,719.0,853.0,950.0,,2.9412526039100153,21958.94125260391
North Macedonia,28.0,32.0,45.0,52.0,,60.0,97.0,111.0,242.0,10920.0,5865.0,284.0,49.0,125.0,69.0,77.0,109.0,87.0,441.0,316.0,,2.73873728079924,19011.7387372808
Armenia,4.0,8.0,1.0,4.0,2.0,2.0,6.0,15.0,38.0,71.0,98.0,133.0,128.0,167.0,504.0,,1759.0,987.0,3431.0,11380.0,,2.695460317952494,18740.69546031795
Viet Nam,,,,,,,,,,,,,,,,,,,,18008.0,,,18008.0
Dominican Republic (the),1572.0,1910.0,1833.0,2087.0,1784.0,498.0,0.0,0.0,4897.0,0.0,0.0,,,,0.0,10.0,,,2760.0,,,1.1705417858310259,17352.170541785832
Kyrgyzstan,273.0,281.0,318.0,563.0,,694.0,350.0,300.0,396.0,160.0,436.0,1193.0,1126.0,4752.0,2864.0,,715.0,231.0,350.0,1508.0,,1.266234233485049,16511.266234233484
Ecuador,2699.0,1472.0,1352.0,1491.0,1522.0,1308.0,799.0,733.0,1331.0,837.0,626.0,11.0,0.0,1037.0,,,,,,,,0.6303304082204305,15218.630330408221
Uruguay,1645.0,1726.0,938.0,2087.0,0.0,205.0,113.0,132.0,169.0,256.0,641.0,2069.0,1646.0,2193.0,,0.0,5.0,18.0,20.0,24.0,,1.1693534267156143,13888.169353426716
Albania,13.0,6.0,17.0,,,20.0,18.0,39.0,21.0,22.0,50.0,824.0,236.0,1696.0,896.0,2236.0,3124.0,1414.0,1651.0,1006.0,,1.2767969967472126,13290.276796996748
Sri Lanka,290.0,252.0,311.0,338.0,383.0,1274.0,3558.0,1129.0,897.0,660.0,778.0,1153.0,,,,,,622.0,901.0,592.0,,0.9295109468732061,13138.929510946873
Portugal,106.0,179.0,138.0,1.0,4.0,162.0,158.0,134.0,140.0,154.0,140.0,191.0,193.0,4.0,219.0,231.0,298.0,,6493.0,3153.0,,2.479200476980284,12100.47920047698
