Country,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,COV,SUM
Botswana,1.97,0.77,0.35,1.44,0.51,0.22,0.5,2.3,2.05,22.82,2.096685441996239,35.026685441996236
Nicaragua,5.05,2.93,1.07,0.54,0.56,0.6,0.46,0.35,3.54,13.51,1.425658245710446,30.035658245710444
Thailand,0.84,1.03,1.34,2.92,2.58,2.53,1.94,2.55,2.4,6.58,0.6526880876737935,25.362688087673796
Nepal,0.45,0.33,0.49,0.6,1.27,1.65,3.03,3.91,5.12,7.35,0.98741021891535,25.187410218915346
Bhutan,0.02,0.03,0.06,0.03,0.03,0.0,0.42,0.98,3.76,13.99,2.2737369892377397,21.59373698923774
Democratic People's Republic of Korea,0.22,0.27,0.08,1.07,1.48,2.25,1.74,1.41,1.21,10.12,1.4832491558006586,21.33324915580066
Honduras,0.2,0.72,0.58,0.56,0.92,1.11,1.32,1.77,3.45,8.6,1.3092115075857023,20.539211507585698
Belize,0.03,0.02,0.04,0.08,0.08,0.14,0.32,0.68,7.92,8.71,1.910926296633836,19.93092629663384
Guatemala,0.37,0.49,0.7,0.6,0.67,0.59,0.77,0.86,5.14,8.04,1.4302516744250744,19.660251674425073
South Africa,3.97,0.77,0.21,2.15,1.61,1.06,1.89,1.56,1.59,3.94,0.6565092874015146,19.406509287401516
Eswatini,1.89,0.93,0.43,1.96,2.7,1.61,1.6,0.8,0.9,2.65,0.502837488776265,15.972837488776268
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,1.01,9.18,2.8092397287795605,13.06923972877956
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.24,1.23,8.17,2.647062463194596,12.317062463194596
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,5.19,2.160963628373927,10.800963628373928
Philippines,0.25,0.27,0.45,0.25,0.31,0.34,0.44,1.0,3.08,2.67,1.175762376972904,10.235762376972902
Mexico,0.27,0.2,0.19,0.25,0.19,0.33,0.45,0.49,1.29,3.43,1.4261226235869764,8.516122623586977
