Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Yemen,116.0,0.0,,117.0,,66.0,115.0,38.0,93.0,30.0,46.0,48.0,101.0,46.0,,,,,,,,,,,51.0,100.0,30.0,,,2428.0,369.0,324.0,543.0,247.0,462.0,433.0,273.0,224.0,405.0,1.7799595525073741,6706.7799595525075
Mali,10.0,7.0,8.0,19.0,61.0,37.0,108.0,,86.0,73.0,11.0,117.0,17.0,20.0,25.0,,109.0,101.0,168.0,77.0,,,37.0,71.0,,40.0,311.0,350.0,365.0,617.0,519.0,875.0,787.0,455.0,144.0,288.0,161.0,288.0,294.0,1.159368129714417,6657.1593681297145
Mexico,23.0,27.0,35.0,27.0,26.0,20.0,28.0,23.0,43.0,39.0,45.0,45.0,54.0,71.0,68.0,82.0,61.0,101.0,103.0,93.0,148.0,169.0,229.0,195.0,260.0,139.0,170.0,340.0,381.0,285.0,430.0,311.0,359.0,436.0,399.0,339.0,307.0,359.0,363.0,0.8346497424125972,6633.834649742413
Colombia,38.0,37.0,45.0,48.0,59.0,31.0,50.0,37.0,71.0,40.0,45.0,65.0,63.0,72.0,,7.0,37.0,25.0,27.0,19.0,21.0,24.0,26.0,85.0,61.0,77.0,86.0,152.0,167.0,215.0,251.0,452.0,249.0,517.0,621.0,688.0,768.0,675.0,593.0,1.3122542406423447,6545.312254240642
Sierra Leone,971.0,43.0,6.0,11.0,,9.0,,112.0,,12.0,67.0,8.0,15.0,10.0,,,,,36.0,,,0.0,,,,,,88.0,103.0,188.0,,120.0,64.0,631.0,643.0,713.0,739.0,609.0,871.0,1.302960761070592,6070.302960761071
Niger (the),34.0,36.0,32.0,24.0,45.0,71.0,75.0,131.0,146.0,157.0,136.0,194.0,98.0,110.0,176.0,221.0,204.0,275.0,286.0,201.0,228.0,201.0,,220.0,,,,105.0,220.0,230.0,299.0,285.0,222.0,115.0,154.0,210.0,261.0,313.0,346.0,0.5119540079591274,6061.5119540079595
Cameroon,27.0,51.0,58.0,120.0,110.0,43.0,23.0,93.0,83.0,72.0,65.0,147.0,,129.0,154.0,,,,279.0,,,171.0,,,,,,,382.0,,,879.0,1084.0,893.0,1050.0,3.0,26.0,18.0,,1.390911172004491,5961.390911172004
Benin,111.0,,122.0,7.0,3.0,8.0,7.0,6.0,82.0,4.0,7.0,9.0,,12.0,17.0,25.0,,,288.0,296.0,15.0,,72.0,184.0,,,,,,266.0,371.0,441.0,388.0,636.0,448.0,449.0,445.0,444.0,499.0,1.0353324838010916,5663.0353324838015
Democratic People's Republic of Korea (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.0,0.0,,3.0,4.0,,3.0,1.0,,1.0,24.0,123.0,570.0,804.0,982.0,0.0,1688.0,733.0,537.0,2.352717790961158,5481.352717790961
Senegal,6.0,251.0,,,4.0,78.0,118.0,144.0,21.0,16.0,252.0,41.0,,20.0,,,,45.0,0.0,,,16.0,,,35.0,,72.0,100.0,109.0,101.0,115.0,,,,,1035.0,704.0,691.0,1378.0,1.6124493265549937,5353.612449326555
Peru,24.0,24.0,25.0,22.0,21.0,35.0,17.0,38.0,47.0,19.0,42.0,55.0,28.0,44.0,52.0,58.0,49.0,33.0,57.0,70.0,88.0,63.0,57.0,94.0,130.0,120.0,140.0,89.0,124.0,203.0,143.0,271.0,373.0,324.0,606.0,360.0,400.0,385.0,525.0,1.1314692513417728,5256.1314692513415
Mozambique,160.0,0.0,,281.0,,59.0,110.0,60.0,,41.0,11.0,17.0,18.0,26.0,30.0,49.0,25.0,61.0,65.0,57.0,61.0,69.0,50.0,,81.0,90.0,101.0,132.0,102.0,152.0,137.0,136.0,161.0,170.0,133.0,224.0,305.0,343.0,573.0,0.9842041861298462,4090.98420418613
Venezuela (Bolivarian Republic of),11.0,16.0,23.0,14.0,12.0,9.0,14.0,26.0,13.0,17.0,0.0,,38.0,33.0,35.0,34.0,25.0,38.0,27.0,46.0,46.0,65.0,65.0,60.0,59.0,92.0,81.0,118.0,99.0,112.0,138.0,156.0,228.0,262.0,245.0,348.0,435.0,413.0,476.0,1.2384712860292897,3930.2384712860294
Malawi,9.0,3.0,2.0,2.0,1.0,7.0,1.0,8.0,4.0,7.0,5.0,7.0,6.0,6.0,,7.0,,15.0,12.0,6.0,1.0,,1.0,,,,,90.0,,,,,327.0,424.0,618.0,405.0,581.0,785.0,461.0,1.7316342939803182,3802.7316342939803
Togo,14.0,16.0,11.0,12.0,18.0,26.0,20.0,28.0,28.0,17.0,5.0,18.0,,10.0,,28.0,42.0,,,,,,,,,,,,107.0,219.0,262.0,358.0,517.0,273.0,247.0,277.0,252.0,508.0,436.0,1.1718874985518715,3750.1718874985518
Zambia,,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0,1.0,47.0,53.0,78.0,41.0,157.0,62.0,193.0,261.0,,34.0,,24.0,,,,,57.0,99.0,196.0,270.0,388.0,268.0,213.0,212.0,274.0,307.0,409.0,1.0689965196264057,3687.068996519626
Guyana,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1010.0,0.0,1010.0,5.0,2.0,0.0,,,0.0,0.0,0.0,0.0,6.0,2.0,4.0,7.0,7.0,4.0,8.0,11.0,20.0,3.316601091286155,3114.3166010912864
Burundi,0.0,,,,3.0,1.0,1.0,2.0,2.0,11.0,,14.0,23.0,16.0,,40.0,71.0,,33.0,59.0,68.0,,,35.0,20.0,124.0,33.0,66.0,65.0,140.0,141.0,194.0,209.0,256.0,278.0,290.0,263.0,338.0,256.0,1.0810375981340488,3053.081037598134
